external_id,front_text,back_text
0001,Russia,Moscow
0002,Afghanistan,Kabul
0003,Saudi Arabia,Riyadh
0004,Armenia,Yerevan
0005,Azerbaijan,Baku
0006,Bahrain,Manama
0007,Bangladesh,Dhaka
0008,Bhutan,Thimphu
0009,Brunei,Bandar Seri Begawan
0010,China,Beijing
0011,Cyprus,Nicosia
0012,Philippines,Manila
0013,Georgia,Tbilisi
0014,India,New Delhi
0015,Indonesia,Jakarta
0016,Iraq,Baghdad
0017,Iran,Tehran
0018,Israel,Jerusalem
0019,Japan,Tokyo
0020,Yemen,Sana'a
0021,Jordan,Amman
0022,Cambodia,Phnom Penh
0023,Qatar,Doha
0024,Kyrgyzstan,Bishkek
0025,South Korea,Seoul
0026,North Korea,Pyongyang
0027,Kuwait,Kuwait City
0028,Laos,Vientiane
0029,Lebanon,Beirut
0030,Maldives,Malé
0031,Malaysia,"Kuala Lumpur, Putrajaya"
0032,Myanmar,Naypyidaw
0033,Mongolia,Ulaanbaatar
0034,Nepal,Kathmandu
0035,Oman,Muscat
0036,Pakistan,Islamabad
0037,Singapore,Singapore
0038,Sri Lanka,"Sri Jayawardenepura Kotte, Colombo"
0039,Syria,Damascus
0040,Tajikistan,Dushanbe
0041,Thailand,Bangkok
0042,East Timor,Dili
0043,Turkmenistan,Ashgabat
0044,Uzbekistan,Tashkent
0045,Vietnam,Hanoi
0046,United Arab Emirates,Abu Dhabi
0047,Kazakhstan,Astana
0048,Turkey,Ankara
0049,Egypt,Cairo
